Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2895768,Yes,India,Bengaluru,Pediatric,Pediatric ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,,,Active Participation / Present During Rounds,,,,,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2895775,Yes,India,Bilaspur,Pediatric,Pediatric ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,Active Participation / Present During Rounds,,,,,Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,,,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2898746,Yes,Argentina,Buenos Aires,Adult,Medical-Surgical Mixed ICU,,Private University/Academic Hospital,,31 - 40 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,Yes,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Videos Lectures,Lectures,Lectures Handouts,Simulations,Lectures,Lectures,Physician Registered Nurse,Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Registered Nurse,Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider Registered Nurse,Yes,Fentanyl Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Daily,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6,5,4,3,7,1,2,na,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2899504,Yes,Brazil,Salvador,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,University/Academic Hospital District Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
SC-2899910,Yes,Brazil,Salvador,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),Lectures Handouts,Lectures Handouts,Lectures Handouts,Videos Lectures Handouts,Lectures Handouts,Lectures Handouts,Registered Nurse,Respiratory Therapist,Registered Nurse,Physician,Respiratory Therapist,Registered Nurse,Yes,Fentanyl Morphine Ketamine Methadone Paracetamol Other,Dipiron and Tramadol,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,No,Yes,Within 1-3 days of admission,Daily,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,4,8,6,6,7,4,6,Staff turnover,Completed,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2900064,Yes,,,Adult,Surgical ICU Cardiac Thoracic ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Training MD (Intern/Resident/Fellow),,3 - 5 years,Yes,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,I don't know,No,No,Yes,Yes,No,Yes,1,3,1,1,4,1,5,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2900473,Yes,USA,"Bolivia, NC",Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,Less than 10 beds,1 nurse to 2 patients,Yes,Registered Nurse,,>15 years,Yes,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",No,Compliant on some patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Non-Compliant,Compliant on some patients,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Hydromorphone Morphine Ketamine Methadone Nalbuphine Nonsteroidal anti-inflammatory drugs,,No,No,Yes,Midazolam Propofol Dexmedetomidine,,No,Yes,No,Within 1-3 days of admission,Daily,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,1,3,8,8,8,2,2,,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2901388,Yes,India,Jammu,Pediatric,Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,,,,,,,,,,,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Handouts,Handouts,Handouts,Handouts,Handouts,Handouts,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Physician Training MD Intern / Resident / Fellow Advanced Practice Provider,Yes,Fentanyl Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Ketamine Dexmedetomidine Chloral hydrate,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,1,8,1,8,8,1,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2901796,Yes,,,Pediatric,Cardiac Thoracic ICU Pediatric ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Registered Nurse,,6 - 10 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2902242,Yes,Pakistan,Sargodha,Adult,Medical ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,11 - 15 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,No,No,I have never heard of it,None of them,No,Non-Compliant,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),No,Lectures,Lectures,Lectures,Handouts,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,No,Paracetamol,,Yes,Yes,Yes,Propofol,,No,No,No,Within 1-3 days of admission,Daily,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,2,3,1,4,7,6,No,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2902468,Yes,Pakistan,Peshawar,Both Adult and Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Government,,31 - 40 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility",No,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Registered Nurse,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Ketamine Paracetamol Nalbuphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine Chloral hydrate,,No,Yes,Yes,Within 7-10 days of admission,Daily,No,Yes,No,No,I don't know,No,No,Yes,No,Yes,Yes,5,7,8,8,6,4,5,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2904697,Yes,Thailand,Songkhla,Pediatric,Medical-Surgical Mixed ICU,,University/Academic Hospital,,Less than 10 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,3 - 5 years,No,,,,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,,,Active Participation / Present During Rounds,0,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation F: Family Engagement",I don't know,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on some patients,Compliant on most patients,Lectures,Lectures,Lectures,Handouts,Lectures,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Registered Nurse,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,I don't know,Yes,Yes,Midazolam Diazepam Lorazepam Dexmedetomidine Chloral hydrate,,No,I don't know,No,Within 7-10 days of admission,Variable,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,6,6,3,1,2,3,5,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
SC-2908466,Yes,Pakistan,Karachi,Adult,Surgical ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,No,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2909890,Yes,Brazil,Sao Paulo,Pediatric,Surgical ICU Cardiac Thoracic ICU Pediatric ICU,,Government Private University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,Physiotherapist,,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1
SC-2911916,Yes,Puerto Rico,San Juan,Adult,Medical ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Lectures,Lectures,Lectures,Lectures,Lectures,Lectures Handouts,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol,,Yes,No,Yes,Within 4-6 days of admission,Never,No,Yes,Yes,No,I don't know,Yes,No,Yes,Yes,No,Yes,6,7,8,8,5,6,7,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2911919,Yes,Panama,Panama Cityá City,Adult,Other,Obstetrics,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,No,No,No,No,No,No,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Remifentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Daily,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,1,1,6,7,5,1,2,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2911923,Yes,India,Hyderabad,Adult,Medical-Surgical Mixed ICU,,Private,,31 - 40 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility",Yes,Compliant on most patients,Compliant on most patients,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Lectures,Lectures,Lectures,Lectures,Videos Lectures,Videos Lectures Simulations,Physician,Physician,Physician,Physician,Physician Respiratory Therapist,Physician,Yes,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,7,5,8,3,6,7,8,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2911924,Yes,Ghana,Accra,Both Adult and Pediatric,Medical-Surgical Mixed ICU,,Government University/Academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,<2 years,No,,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2911925,Yes,USA,rock Island,Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",Yes,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Compliant on most patients,No,Lectures Handouts,No,No,Videos Lectures,No,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Yes,Fentanyl Morphine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,3,2,4,4,3,5,3,na,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2911927,Yes,India,Pala,Pediatric,Pediatric ICU Other,Burns ICU,Private,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,6 - 10 years,No,,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,"C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Lectures,Videos Lectures,Videos Lectures Handouts Simulations,Lectures,No,No,Physician,Physician,Physician,Registered Nurse,Advanced Practice Provider,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine Chloral hydrate,,Yes,No,No,Within 1-3 days of admission,Variable,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1,Not a Barrier,1,3,6,2,2,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2911930,Yes,USA,Largo,Adult,Medical-Surgical Mixed ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,3 - 5 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial,No,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Lectures,Lectures Handouts,Lectures Handouts,Lectures,Lectures,No,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Hydromorphone Morphine Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,7,4,5,8,Not a Barrier,3,3,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
