Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete
SC-2889637,Yes,Indonesia,Yogyakarta,Pediatric,Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain",Yes,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,No,Lectures,Lectures,Handouts,Handouts,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine Chloral hydrate,,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,No,No,No,I don't know,No,No,Yes,No,Yes,No,8,8,8,8,8,8,8,physician understanding,Completed
SC-2885871,Yes,Indonesia,Medan,Pediatric,Pediatric ICU,,Government Private,,11 - 20 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2885855,Yes,Indonesia,Yogyakarta,Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Private,,Less than 10 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,>15 years,No, - , - , - , - , - ,Active Participation / Present During Rounds, - ,Active Participation / Present During Rounds, - , - ,Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it",None of them,I don't know,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,No,No,Lectures,Lectures,Lectures,Lectures,Physician,Physician,Physician,Physician,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine Chloral hydrate,,I don't know,No,Yes,Within 1-3 days of admission,Daily,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,7,6,8,8,6,6,6,,Completed
SC-2873076,Yes,Iraq,Baghdad,Pediatric,Pediatric ICU,,Government Private,,Less than 10 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation E: Early Mobility F: Family Engagement",No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,No,No,No,No,No,No,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Dexmedetomidine Chloral hydrate,,No,Yes,Yes,Within 1-3 days of admission,Multiple times a day,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Not a Barrier,Not a Barrier,7,5,Not a Barrier,5,5,We don't have written protocols but still some parts are rigourously implemented and some are not bit we still feel it is helpful in both the countries where my team works,Completed
SC-2939124,Yes,Jordan,Amman,Adult,Medical-Surgical Mixed ICU,,Semiprivate,,11 - 20 beds,1 nurse to 1 patient,I don't know,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Handouts,Handouts,Lectures Handouts,Lectures Handouts,Handouts,Handouts,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 4-6 days of admission,Daily,Yes,Yes,No,No,I don't know,Yes,No,No,No,Yes,Yes,4,4,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Na,Completed
SC-2936727,Yes,Jordan,Amman,Adult,Medical ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 1 patient,No,Training MD (Intern/Resident/Fellow),,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,,,"I have heard of it, but I don't know much about it",None of them,No,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Lectures Simulations,Videos Lectures Simulations,Videos Lectures Handouts Simulations,Lectures Simulations,Lectures Simulations,Lectures Handouts Simulations,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine,,Yes,Yes,Yes,Midazolam Propofol,,Yes,No,No,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,5,6,5,6,6,4,5,,Completed
SC-2927824,Yes,Jordan,Amman,Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,11 - 20 beds,1 nurse to 1 patient,No,Pharmacist,,3 - 5 years,Yes, - , - , - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,,,Very Familiar,B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial,No,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),No,No,No,No,No,No,Physician Registered Nurse,Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Registered Nurse,Physician,I don't know,Fentanyl Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Variable,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,4,3,4,3,3,4,4,,Completed
SC-2928572,Yes,Jordan,Amman,Adult,Surgical ICU Medical ICU Medical-Surgical Mixed ICU,,Government Private Semiprivate Other,KHCC,21 - 30 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,<2 years,Yes, - , - , - , - , - , - , - , - , - , - , - , - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2929522,Yes,Jordan,Amman,Both Adult and Pediatric,Medical ICU Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,No,Pharmacist,,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Na,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2873078,Yes,Jordan,Amman,Both Adult and Pediatric,Medical ICU Pediatric ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,No,Pharmacist,,>15 years,Yes, - , - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain",No,Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on most patients,No,No,No,No,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,,Physician Training MD Intern / Resident / Fellow Registered Nurse,Yes,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 4-6 days of admission,Variable,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,7,6,6,6,6,8,8,,Completed
SC-2936226,Yes,Jordan,City,Adult,Medical-Surgical Mixed ICU,,Government,,>40 beds,1 nurse to 3-5 patients,Yes,Pharmacist,,<2 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,"I have heard of it, but I don't know much about it",None of them,I don't know,Compliant on most patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on some patients,Compliant on some patients,Compliant on most patients,Videos Simulations,Videos Simulations,Videos Simulations,Videos Simulations,Videos,Videos,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Advanced Practice Provider,,No,Fentanyl Morphine Remifentanyl Paracetamol,,Yes,Yes,No,Midazolam Propofol,,No,No,I don't know,Never,Once a week,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,I don't know,4,4,7,8,3,7,7,not collaborate/ staff deficiency,Completed
SC-2936436,Yes,Jordan,Amman,Pediatric,Pediatric ICU,,Private,,11 - 20 beds,1 nurse to 1 patient,Yes,Physician (Consultant/Attending),,>15 years,No,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2936371,Yes,Jordan,Amman,Adult,Medical ICU Medical-Surgical Mixed ICU,,University/Academic Hospital,,21 - 30 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,6 - 10 years,Yes, - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Very Familiar,None of them,No,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on some patients,Non-Compliant,Compliant on most patients,Lectures,Lectures Handouts,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician,Physician,Physician,Physician,Physician Training MD Intern / Resident / Fellow Registered Nurse,No,Fentanyl Morphine Paracetamol,,Yes,Yes,No,Midazolam Propofol Ketamine Dexmedetomidine,,No,No,No,Never,Variable,No,No,No,No,No,Yes,No,No,No,No,Yes,3,3,6,3,Not a Barrier,7,5,Lack of leadership,Completed
SC-2936229,Yes,Jordan,Zarqa,Both Adult and Pediatric,Surgical ICU Medical ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 3-5 patients,No,Pharmacist,,6 - 10 years,No,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,I have never heard of it,None of them,No,Compliant on some patients,Compliant on some patients,Non-Compliant,Non-Compliant,Non-Compliant,Non-Compliant,No,No,No,No,No,No,Training MD Intern / Resident / Fellow Registered Nurse,Training MD Intern / Resident / Fellow,Training MD Intern / Resident / Fellow Registered Nurse,,,,No,Fentanyl Paracetamol,,Yes,Yes,No,Midazolam Diazepam,,No,No,No,Within 1-3 days of admission,Multiple times a day,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,1,6,1,1,8,5,5,Unknown,Completed
SC-2936228,Yes,Jordan,Amman,Both Adult and Pediatric,Surgical ICU Medical ICU Medical-Surgical Mixed ICU Cardiac Thoracic ICU Pediatric ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,Yes,Pharmacist,,<2 years,No,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,"I have heard of it, but I don't know much about it","A: Assess, Prevent and Manage Pain",Yes,Fully Compliant (on all eligible patients),I don't know,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Simulations,Videos,Lectures,Lectures,Simulations,Videos,Advanced Practice Provider,Advanced Practice Provider,Advanced Practice Provider,Advanced Practice Provider,Registered Nurse,Physician,Yes,Morphine Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,I don't know,Midazolam Diazepam Propofol,,Yes,No,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,6,5,6,1,1,6,6,Unknown,Completed
SC-2936227,Yes,Jordan,Amman,Both Adult and Pediatric,Medical ICU Pediatric ICU,,Semiprivate,,11 - 20 beds,1 nurse to 1 patient,I don't know,Pharmacist,,<2 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds, - ,,,Very Familiar,"A: Assess, Prevent and Manage Pain",No,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on most patients,Compliant on some patients,No,No,Lectures Handouts,No,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse,,No,Fentanyl Morphine Ketamine Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,No,No,Yes,Within 4-6 days of admission,Daily,I don't know,Yes,I don't know,I don't know,I don't know,No,No,No,No,No,Yes,8,8,7,1,3,8,5,Unknown,Completed
SC-2929815,Yes,Jordan,Amman,Adult,Medical-Surgical Mixed ICU,,Semiprivate,,11 - 20 beds,1 nurse to 1 patient,Yes,Pharmacist,,<2 years,Yes, - , - , - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,None of them,Yes,Fully Compliant (on all eligible patients),Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Handouts Simulations,Handouts Simulations,Handouts Simulations,Handouts Simulations,No,No,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician,Yes,Fentanyl Morphine Ketamine Methadone Paracetamol,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,I don't know,I don't know,Within 4-6 days of admission,Daily,Yes,Yes,Yes,Yes,I don't know,Yes,No,Yes,No,No,Yes,3,3,2,4,7,5,5,,Completed
SC-2884678,Yes,Kuwait,Kuwait City,Pediatric,Pediatric ICU,,Government Private,,11 - 20 beds,1 nurse to 2 patients,No,Registered Nurse,,6 - 10 years,Yes,Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2932782,Yes,Malawi,Lilongwe,Both Adult and Pediatric,Surgical ICU Medical ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Other,Anaesthetic,3 - 5 years,Yes,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation F: Family Engagement",No,Non-Compliant,Non-Compliant,Non-Compliant,Compliant on some patients,Non-Compliant,Non-Compliant,Handouts,Lectures,Handouts,Lectures,Simulations,Handouts,Advanced Practice Provider,Physician,Advanced Practice Provider,Registered Nurse,Advanced Practice Provider,Registered Nurse,Yes,Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine Dexmedetomidine,,No,Yes,Yes,Within 1-3 days of admission,Daily,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,3,3,6,6,4,5,6,,Completed
SC-2932586,Yes,Malawi,Lilongwe,Both Adult and Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Government,,Less than 10 beds,1 nurse to 1 patient,Yes,Registered Nurse,,3 - 5 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Anaesthetist,Anaesthetist,, - ,,,,,,,, - , - , - , - , - , - , - , - , - , - , - , - ,, - ,,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started
SC-2932565,Yes,Malawi,Lilongwe,Both Adult and Pediatric,Other,Generalized ICU,Government,,Less than 10 beds,1 nurse to 2 patients,Yes,Registered Nurse,,3 - 5 years,No,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - , - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,,,Somewhat Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No,No,No,No,No,No,Registered Nurse,,,,,,Yes,Fentanyl Morphine Paracetamol,,Yes,Yes,Yes,Midazolam Diazepam Propofol Ketamine,,No,Yes,Yes,Within 7-10 days of admission,Daily,Yes,Yes,Yes,I don't know,I don't know,Yes,No,Yes,Yes,No,Yes,2,4,1,1,7,3,3,,Completed
SC-2885384,Yes,Malawi,Blantyree,Pediatric,Medical-Surgical Mixed ICU Pediatric ICU,,Government,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes, - , - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds, - ,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team, - ,,,I have never heard of it,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management F: Family Engagement",I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No,No,No,No,No,No,,,,,,,Yes,Fentanyl Morphine Ketamine Methadone Remifentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,No,No,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine Chloral hydrate Other,clonidine,Yes,Yes,No,Within 1-3 days of admission,Daily,No,No,Yes,No,I don't know,Yes,Yes,Yes,I don't know,Yes,I don't know,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Do not know,Completed
